,workerid,language,correct,idiom,response,result,rt,Affect
696,32,Russian,to bring private problems into public,to take trash out of the cottage,to remove problems from one's life,incorrect,13495.0,Negative
697,117,Russian,to bring private problems into public,to take trash out of the cottage,to remove problems from one's life,incorrect,10467.0,Negative
698,73,Russian,to bring private problems into public,to take trash out of the cottage,to bring private problems into public,correct,17338.0,Negative
699,53,Russian,to bring private problems into public,to take trash out of the cottage,to remove problems from one's life,incorrect,10667.0,Negative
700,63,Russian,to bring private problems into public,to take trash out of the cottage,to expose someone's true character,incorrect,10149.0,Negative
701,50,Russian,to bring private problems into public,to take trash out of the cottage,to remove problems from one's life,incorrect,9286.0,Negative
702,122,Russian,to bring private problems into public,to take trash out of the cottage,to remove problems from one's life,incorrect,21961.0,Negative
703,69,Russian,to bring private problems into public,to take trash out of the cottage,to remove problems from one's life,incorrect,13384.0,Negative
704,35,Russian,to bring private problems into public,to take trash out of the cottage,to remove problems from one's life,incorrect,4796.0,Negative
705,88,Russian,to bring private problems into public,to take trash out of the cottage,to remove problems from one's life,incorrect,13818.0,Negative
706,119,Russian,to bring private problems into public,to take trash out of the cottage,to remove problems from one's life,incorrect,9724.0,Negative
707,112,Russian,to bring private problems into public,to take trash out of the cottage,to remove problems from one's life,incorrect,8950.0,Negative
708,61,Russian,to bring private problems into public,to take trash out of the cottage,to remove someone from a position of power,incorrect,13813.0,Negative
709,67,Russian,to bring private problems into public,to take trash out of the cottage,to remove problems from one's life,incorrect,25120.0,Negative
710,98,Russian,to bring private problems into public,to take trash out of the cottage,to remove problems from one's life,incorrect,26130.0,Negative
711,78,Russian,to bring private problems into public,to take trash out of the cottage,to remove problems from one's life,incorrect,16560.0,Negative
712,113,Russian,to be nothing special,to be neither fish nor meat,to be difficult to categorize,incorrect,39963.0,Neutral
713,45,Russian,to be nothing special,to be neither fish nor meat,to be of no use or relevance,incorrect,16601.0,Neutral
714,94,Russian,to be nothing special,to be neither fish nor meat,to be difficult to categorize,incorrect,8867.0,Neutral
715,36,Russian,to be nothing special,to be neither fish nor meat,to be nothing special,correct,6046.0,Neutral
716,41,Russian,to be nothing special,to be neither fish nor meat,to be difficult to categorize,incorrect,11590.0,Neutral
717,104,Russian,to be nothing special,to be neither fish nor meat,to be nothing special,correct,9220.0,Neutral
718,128,Russian,to be nothing special,to be neither fish nor meat,to be difficult to categorize,incorrect,9891.0,Neutral
719,97,Russian,to be nothing special,to be neither fish nor meat,to be difficult to categorize,incorrect,9410.0,Neutral
720,30,Russian,to be nothing special,to be neither fish nor meat,to be unable to make decisions,incorrect,19681.0,Neutral
721,29,Russian,to be nothing special,to be neither fish nor meat,to be difficult to categorize,incorrect,9225.0,Neutral
722,71,Russian,to be nothing special,to be neither fish nor meat,to be of no use or relevance,incorrect,13450.0,Neutral
723,31,Russian,to be nothing special,to be neither fish nor meat,to be nothing special,correct,14009.0,Neutral
724,80,Russian,to be nothing special,to be neither fish nor meat,to be difficult to categorize,incorrect,4426.0,Neutral
725,106,Russian,to be nothing special,to be neither fish nor meat,to be difficult to categorize,incorrect,10048.0,Neutral
726,112,Russian,to be nothing special,to be neither fish nor meat,to be of no use or relevance,incorrect,8791.0,Neutral
727,96,Russian,to be nothing special,to be neither fish nor meat,to be of no use or relevance,incorrect,7436.0,Neutral
728,67,Russian,to be nothing special,to be neither fish nor meat,to be difficult to categorize,incorrect,12380.0,Neutral
729,125,Russian,to be nothing special,to be neither fish nor meat,to be of no use or relevance,incorrect,22370.0,Neutral
730,66,Russian,to be nothing special,to be neither fish nor meat,to be difficult to categorize,incorrect,5695.0,Neutral
731,100,Russian,to be nothing special,to be neither fish nor meat,to be of no use or relevance,incorrect,9271.0,Neutral
732,47,Russian,to be nothing special,to be neither fish nor meat,to be difficult to categorize,incorrect,11279.0,Neutral
733,68,Russian,to be nothing special,to be neither fish nor meat,to be nothing special,correct,23957.0,Neutral
734,124,Russian,to be nothing special,to be neither fish nor meat,to be difficult to categorize,incorrect,6232.0,Neutral
735,113,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,going from one bad situation to another,correct,42025.0,Negative
736,77,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,going from one bad situation to another,correct,17318.0,Negative
737,107,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,going from one bad situation to another,correct,18372.0,Negative
738,111,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,to get into a situation that leaves you feeling helpless,incorrect,44632.0,Negative
739,57,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,to get into a situation that leaves you feeling helpless,incorrect,14842.0,Negative
740,104,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,going from one bad situation to another,correct,7205.0,Negative
741,110,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,to be very lucky,incorrect,25382.0,Negative
742,120,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,to become successful unexpectedly,incorrect,17600.0,Negative
743,58,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,to become successful unexpectedly,incorrect,26392.0,Negative
744,29,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,going from one bad situation to another,correct,10506.0,Negative
745,108,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,going from one bad situation to another,correct,14780.0,Negative
746,50,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,going from one bad situation to another,correct,25680.0,Negative
747,80,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,to become successful unexpectedly,incorrect,3355.0,Negative
748,48,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,going from one bad situation to another,correct,31921.0,Negative
749,61,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,to be very lucky,incorrect,20349.0,Negative
750,96,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,to become successful unexpectedly,incorrect,7469.0,Negative
751,90,Hindi,going from one bad situation to another,fallen from the sky and stuck on a date palm,to get into a situation that leaves you feeling helpless,incorrect,13762.0,Negative
752,113,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,27273.0,Negative
753,77,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,19299.0,Negative
754,41,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,12550.0,Negative
755,93,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,14404.0,Negative
756,89,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,7106.0,Negative
757,76,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,9174.0,Negative
758,64,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,7681.0,Negative
759,72,Hindi,there is something suspicious about the situation,there is something black in the lentils,finding faults that are not visible initially,incorrect,10876.0,Negative
760,44,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,10942.0,Negative
761,121,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,7154.0,Negative
762,42,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,9773.0,Negative
763,61,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,19052.0,Negative
764,59,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,7571.0,Negative
765,67,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,24213.0,Negative
766,40,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,5279.0,Negative
767,124,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,6249.0,Negative
768,98,Hindi,there is something suspicious about the situation,there is something black in the lentils,a minor mistake ,incorrect,16674.0,Negative
769,78,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,16375.0,Negative
770,90,Hindi,there is something suspicious about the situation,there is something black in the lentils,there is something suspicious about the situation,correct,16617.0,Negative
771,113,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to speak in a straightforward manner,correct,24190.0,Neutral
772,77,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to avoid sharp words,incorrect,7239.0,Neutral
773,110,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to speak in a straightforward manner,correct,35816.0,Neutral
774,53,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to speak in a straightforward manner,correct,7578.0,Neutral
775,58,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to speak in a straightforward manner,correct,14483.0,Neutral
776,50,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to be unable to express yourself effectively,incorrect,27531.0,Neutral
777,122,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to speak in a straightforward manner,correct,11384.0,Neutral
778,80,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to avoid sharp words,incorrect,6814.0,Neutral
779,88,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to lie easily,incorrect,23848.0,Neutral
780,79,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to speak in a straightforward manner,correct,10604.0,Neutral
781,42,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to be unable to express yourself effectively,incorrect,7334.0,Neutral
782,61,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to speak in a straightforward manner,correct,9580.0,Neutral
783,96,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to speak in a straightforward manner,correct,6822.0,Neutral
784,67,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to speak in a straightforward manner,correct,11304.0,Neutral
785,100,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to speak in a straightforward manner,correct,12222.0,Neutral
786,37,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to avoid sharp words,incorrect,32330.0,Neutral
787,38,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to speak in a straightforward manner,correct,13856.0,Neutral
788,130,Spanish,to speak in a straightforward manner,to not have hair on the tongue,to lie easily,incorrect,12553.0,Neutral
789,85,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,to have complete control over a situation,incorrect,15732.0,Negative
790,105,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power will get what they want,correct,12199.0,Negative
791,45,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power also has responsibility for their actions,incorrect,13394.0,Negative
792,73,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power also has responsibility for their actions,incorrect,18687.0,Negative
793,65,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power also has responsibility for their actions,incorrect,8369.0,Negative
794,102,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power also has responsibility for their actions,incorrect,135076.0,Negative
795,63,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,to have complete control over a situation,incorrect,17508.0,Negative
796,84,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power also has responsibility for their actions,incorrect,23036.0,Negative
797,83,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power also has responsibility for their actions,incorrect,11508.0,Negative
798,131,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power also has responsibility for their actions,incorrect,12728.0,Negative
799,71,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power will get what they want,correct,21770.0,Negative
800,122,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,to have complete control over a situation,incorrect,18780.0,Negative
801,60,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,to have complete control over a situation,incorrect,10395.0,Negative
802,127,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power will get what they want,correct,16276.0,Negative
803,88,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power will get what they want,correct,19711.0,Negative
804,79,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power will get what they want,correct,13617.0,Negative
805,55,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,to have complete control over a situation,incorrect,22491.0,Negative
806,43,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,to have complete control over a situation,incorrect,7833.0,Negative
807,114,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power also has responsibility for their actions,incorrect,8892.0,Negative
808,112,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power will get what they want,correct,13807.0,Negative
809,67,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,to have complete control over a situation,incorrect,18392.0,Negative
810,100,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power also has responsibility for their actions,incorrect,13959.0,Negative
811,99,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power will get what they want,correct,14130.0,Negative
812,47,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,the person who has power also has responsibility for their actions,incorrect,13766.0,Negative
813,75,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,to have complete control over a situation,incorrect,27614.0,Negative
814,68,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,to have complete control over a situation,incorrect,14308.0,Negative
815,78,Hindi,the person who has power will get what they want,the one who owns the stick also owns the bull,to have complete control over a situation,incorrect,22769.0,Negative
816,85,Russian,to do something carelessly,to do something with sleeves pulled down,to do something carelessly,correct,13067.0,Negative
817,81,Russian,to do something carelessly,to do something with sleeves pulled down,to do something carelessly,correct,7191.0,Negative
818,73,Russian,to do something carelessly,to do something with sleeves pulled down,to do something with focus,incorrect,26912.0,Negative
819,111,Russian,to do something carelessly,to do something with sleeves pulled down,to hide one's skills,incorrect,15587.0,Negative
820,57,Russian,to do something carelessly,to do something with sleeves pulled down,to do something with focus,incorrect,14925.0,Negative
821,103,Russian,to do something carelessly,to do something with sleeves pulled down,to do something carelessly,correct,6098.0,Negative
822,129,Russian,to do something carelessly,to do something with sleeves pulled down,to hide one's skills,incorrect,5161.0,Negative
823,131,Russian,to do something carelessly,to do something with sleeves pulled down,to hide one's skills,incorrect,27952.0,Negative
824,69,Russian,to do something carelessly,to do something with sleeves pulled down,to hide one's skills,incorrect,11398.0,Negative
825,49,Russian,to do something carelessly,to do something with sleeves pulled down,to work hard,incorrect,8722.0,Negative
826,70,Russian,to do something carelessly,to do something with sleeves pulled down,to do something carelessly,correct,14230.0,Negative
827,80,Russian,to do something carelessly,to do something with sleeves pulled down,to do something carelessly,correct,5781.0,Negative
828,79,Russian,to do something carelessly,to do something with sleeves pulled down,to do something carelessly,correct,5403.0,Negative
829,106,Russian,to do something carelessly,to do something with sleeves pulled down,to do something carelessly,correct,8156.0,Negative
830,48,Russian,to do something carelessly,to do something with sleeves pulled down,to do something carelessly,correct,63266.0,Negative
831,101,Russian,to do something carelessly,to do something with sleeves pulled down,to hide one's skills,incorrect,9705.0,Negative
832,99,Russian,to do something carelessly,to do something with sleeves pulled down,to do something carelessly,correct,17383.0,Negative
833,75,Russian,to do something carelessly,to do something with sleeves pulled down,to do something carelessly,correct,28001.0,Negative
834,40,Russian,to do something carelessly,to do something with sleeves pulled down,to hide one's skills,incorrect,4657.0,Negative
835,68,Russian,to do something carelessly,to do something with sleeves pulled down,to do something with focus,incorrect,7967.0,Negative
836,130,Russian,to do something carelessly,to do something with sleeves pulled down,to work hard,incorrect,18605.0,Negative
837,85,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to spoil something by overdoing it and adding unnecessary details,correct,10074.0,Negative
838,32,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to spoil something by overdoing it and adding unnecessary details,correct,6903.0,Negative
839,81,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to try to improve something that is already great,incorrect,4811.0,Negative
840,117,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to spoil something by overdoing it and adding unnecessary details,correct,8197.0,Negative
841,111,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to spoil something by overdoing it and adding unnecessary details,correct,21013.0,Negative
842,36,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to try to improve something that is already great,incorrect,9601.0,Negative
843,65,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to spoil something by overdoing it and adding unnecessary details,correct,30501.0,Negative
844,93,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,trying to correct a mistake makes it worse,incorrect,38531.0,Negative
845,102,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to spoil something by overdoing it and adding unnecessary details,correct,73916.0,Negative
846,97,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to try to improve something that is already great,incorrect,9810.0,Negative
847,86,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to spoil something by overdoing it and adding unnecessary details,correct,9106.0,Negative
848,72,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to spoil something by overdoing it and adding unnecessary details,correct,24048.0,Negative
849,79,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,trying to correct a mistake makes it worse,incorrect,14158.0,Negative
850,48,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to spoil something by overdoing it and adding unnecessary details,correct,30172.0,Negative
851,125,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to adapt an idea,incorrect,12413.0,Negative
852,40,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to spoil something by overdoing it and adding unnecessary details,correct,6672.0,Negative
853,98,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to spoil something by overdoing it and adding unnecessary details,correct,21446.0,Negative
854,37,Mandarin Chinese,to spoil something by overdoing it and adding unnecessary details,to add feet when drawing a snake,to try to improve something that is already great,incorrect,59618.0,Negative
855,85,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,3674.0,Negative
856,105,Spanish,to do something pointless,to throw water into the sea ,to have a small effect on something,incorrect,6178.0,Negative
857,81,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,3963.0,Negative
858,73,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,7856.0,Negative
859,107,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,5996.0,Negative
860,111,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,66359.0,Negative
861,104,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,4774.0,Negative
862,62,Spanish,to do something pointless,to throw water into the sea ,to have a small effect on something,incorrect,10392.0,Negative
863,93,Spanish,to do something pointless,to throw water into the sea ,to have a small effect on something,incorrect,13566.0,Negative
864,63,Spanish,to do something pointless,to throw water into the sea ,to make a situation worse,incorrect,14907.0,Negative
865,120,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,9612.0,Negative
866,58,Spanish,to do something pointless,to throw water into the sea ,to have a small effect on something,incorrect,13099.0,Negative
867,86,Spanish,to do something pointless,to throw water into the sea ,to have a small effect on something,incorrect,8526.0,Negative
868,131,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,18386.0,Negative
869,69,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,7085.0,Negative
870,31,Spanish,to do something pointless,to throw water into the sea ,to have a small effect on something,incorrect,9208.0,Negative
871,109,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,7085.0,Negative
872,70,Spanish,to do something pointless,to throw water into the sea ,to have a small effect on something,incorrect,11553.0,Negative
873,119,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,15310.0,Negative
874,66,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,3708.0,Negative
875,99,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,5095.0,Negative
876,95,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,10224.0,Negative
877,124,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,5304.0,Negative
878,130,Spanish,to do something pointless,to throw water into the sea ,to do something pointless,correct,9230.0,Negative
879,85,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,3591.0,Neutral
880,105,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,6876.0,Neutral
881,103,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,15784.0,Neutral
882,87,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,7028.0,Neutral
883,110,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,17081.0,Neutral
884,128,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,15564.0,Neutral
885,58,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,11323.0,Neutral
886,108,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,5519.0,Neutral
887,50,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,9225.0,Neutral
888,106,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to trust your own thoughts,incorrect,4331.0,Neutral
889,55,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,12722.0,Neutral
890,56,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,4229.0,Neutral
891,48,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,34554.0,Neutral
892,59,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to forget about your worries,incorrect,6950.0,Neutral
893,67,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,4697.0,Neutral
894,99,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,3846.0,Neutral
895,47,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,45372.0,Neutral
896,75,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,4269.0,Neutral
897,98,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,31130.0,Neutral
898,78,Spanish,to sleep on a decision or to wait before deciding,to consult with your pillow,to sleep on a decision or to wait before deciding,correct,11316.0,Neutral
899,85,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to move without any resistance,incorrect,5864.0,Positive
900,77,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to move without any resistance,incorrect,9443.0,Positive
901,111,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to be living an easy life or to be content and prosperous,correct,24127.0,Positive
902,57,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to move without any resistance,incorrect,6482.0,Positive
903,94,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to be flexible,incorrect,10557.0,Positive
904,41,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to be living an easy life or to be content and prosperous,correct,9806.0,Positive
905,62,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to spend money on expensive things,incorrect,19416.0,Positive
906,102,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to be living an easy life or to be content and prosperous,correct,69145.0,Positive
907,76,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to move without any resistance,incorrect,6165.0,Positive
908,29,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to be living an easy life or to be content and prosperous,correct,6784.0,Positive
909,129,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to move without any resistance,incorrect,2839.0,Positive
910,108,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to be living an easy life or to be content and prosperous,correct,73889.0,Positive
911,28,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to move without any resistance,incorrect,9769.0,Positive
912,131,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to move without any resistance,incorrect,35222.0,Positive
913,88,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to be living an easy life or to be content and prosperous,correct,28370.0,Positive
914,56,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to be living an easy life or to be content and prosperous,correct,6445.0,Positive
915,48,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to be living an easy life or to be content and prosperous,correct,141455.0,Positive
916,100,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to be living an easy life or to be content and prosperous,correct,19955.0,Positive
917,95,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to move without any resistance,incorrect,8945.0,Positive
918,124,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to be living an easy life or to be content and prosperous,correct,7514.0,Positive
919,37,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to move without any resistance,incorrect,50077.0,Positive
920,51,Russian,to be living an easy life or to be content and prosperous,to be like cheese rolling around in butter,to move without any resistance,incorrect,25152.0,Positive
921,85,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to live an easy life,incorrect,4928.0,Negative
922,105,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to be lucky,incorrect,4663.0,Negative
923,77,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to be lucky,incorrect,14167.0,Negative
924,41,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to be lucky,incorrect,11852.0,Negative
925,110,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to live an easy life,incorrect,46725.0,Negative
926,128,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to live an easy life,incorrect,30746.0,Negative
927,93,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to be lucky,incorrect,21970.0,Negative
928,30,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to live an easy life,incorrect,6201.0,Negative
929,83,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to live an easy life,incorrect,4947.0,Negative
930,122,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to live an easy life,incorrect,12313.0,Negative
931,69,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to be bored with routine,incorrect,8945.0,Negative
932,70,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to live an easy life,incorrect,8749.0,Negative
933,46,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to live an easy life,incorrect,9742.0,Negative
934,106,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to live an easy life,incorrect,4982.0,Negative
935,116,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to live an easy life,incorrect,12659.0,Negative
936,61,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to live an easy life,incorrect,9275.0,Negative
937,125,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to be bored with routine,incorrect,8329.0,Negative
938,98,Russian,to be unreliable or untrustworthy,to have seven Fridays in a week,to be lucky,incorrect,28149.0,Negative
